time,latitude,longitude,z,centroid
3,39.50,-106.00,5929.1,-1
3,39.00,-109.75,5931.0,-1
3,38.75,-111.25,5927.5,-1
3,38.75,-107.50,5932.0,-1
3,38.75,-106.75,5931.6,-1
3,38.75,-8.00,5928.4,-1
3,38.25,-160.25,5912.9,-1
3,37.00,-5.75,5942.6,-1
3,36.75,-100.00,5923.8,-1
3,36.50,-106.25,5936.9,-1
3,36.50,82.50,5860.3,-1
3,36.25,79.25,5860.8,-1
3,36.00,80.25,5861.4,-1
3,35.75,-105.75,5940.0,-1
3,35.75,-63.75,5952.0,-1
3,35.75,-4.75,5943.7,-1
3,35.75,81.00,5862.7,-1
3,35.50,77.75,5861.9,-1
3,35.25,-107.25,5935.5,-1
3,35.25,-5.75,5944.3,-1
3,35.25,82.00,5864.5,-1
3,35.00,-104.25,5939.6,-1
3,35.00,80.00,5862.0,-1
3,34.50,81.25,5864.7,-1
3,34.50,159.25,5922.1,-1
3,34.00,-101.50,5938.2,-1
3,34.00,-3.50,5947.5,-1
3,34.00,82.75,5867.0,-1
3,33.75,85.75,5864.8,-1
3,33.50,51.50,5914.8,-1
3,33.50,57.25,5920.2,-1
3,33.50,65.75,5905.5,-1
3,33.50,66.75,5903.0,-1
3,33.25,-62.75,5953.8,-1
3,33.25,-4.25,5951.3,-1
3,33.00,58.50,5921.0,-1
3,32.75,-6.50,5952.2,-1
3,32.50,54.25,5925.3,-1
3,32.50,57.00,5923.5,-1
3,32.25,-4.00,5954.1,-1
3,32.25,53.25,5924.9,-1
3,32.25,81.75,5860.7,-1
3,32.00,61.75,5918.3,-1
3,31.75,-5.00,5955.6,-1
3,31.75,51.00,5929.0,-1
3,31.75,59.25,5918.3,-1
3,31.75,77.75,5864.6,-1
3,31.50,50.25,5928.2,-1
3,31.50,54.25,5925.5,-1
3,31.50,113.25,5891.8,-1
3,31.50,115.75,5892.4,-1
3,31.25,-7.00,5957.3,-1
3,31.25,-6.00,5957.7,-1
3,31.25,52.50,5926.0,-1
3,31.00,-7.75,5958.3,-1
3,31.00,58.75,5920.0,-1
3,31.00,59.50,5918.4,-1
3,30.75,50.75,5928.4,-1
3,30.75,57.25,5923.6,-1
3,30.75,114.50,5891.9,-1
3,30.50,-7.00,5957.6,-1
3,30.50,-6.25,5959.9,-1
3,30.50,79.25,5866.9,-1
3,30.25,51.50,5926.8,-1
3,30.25,60.75,5918.6,-1
3,30.25,67.00,5900.2,-1
3,30.00,56.75,5921.4,-1
3,30.00,57.75,5923.3,-1
3,29.75,-8.75,5953.3,-1
3,29.75,81.00,5864.8,-1
3,29.75,81.75,5864.5,-1
3,29.50,82.50,5862.8,-1
3,29.00,53.00,5923.2,-1
3,29.00,81.75,5863.0,-1
3,28.75,62.75,5909.3,-1
3,28.50,97.00,5860.8,-1
3,28.50,102.50,5865.9,-1
3,28.25,99.25,5862.2,-1
3,28.00,95.50,5861.3,-1
3,28.00,100.00,5863.3,-1
3,27.75,97.00,5861.7,-1
3,27.75,97.75,5861.4,-1
3,27.75,98.50,5861.6,-1
3,27.50,94.75,5860.5,-1
3,27.25,-41.25,5918.9,-1
3,27.25,102.00,5865.0,-1
3,27.00,-177.00,5884.7,-1
3,27.00,-165.25,5889.8,-1
3,27.00,121.75,5877.0,-1
3,26.50,98.75,5861.7,-1
3,26.25,93.75,5860.8,-1
3,26.00,132.50,5864.0,-1
3,25.75,-44.50,5921.6,-1
3,25.75,94.50,5860.0,-1
3,25.50,-173.50,5886.7,-1
4,71.00,-28.50,5562.9,-1
4,62.50,160.50,5809.3,-1
4,62.00,39.25,5890.5,-1
4,59.00,-98.00,5804.6,-1
4,58.50,-101.25,5807.3,-1
4,57.75,-98.25,5806.2,-1
4,57.25,-102.50,5808.3,-1
4,55.25,108.75,5686.9,-1
4,54.75,99.75,5705.0,-1
4,44.00,-113.00,5920.4,-1
4,42.25,-110.25,5921.2,-1
4,42.00,-114.75,5920.3,-1
4,41.50,-112.50,5920.7,-1
4,41.50,-111.75,5921.5,-1
4,41.00,-110.50,5924.7,-1
4,40.00,-160.25,5918.5,-1
4,39.25,-108.75,5926.0,-1
4,39.00,-110.50,5921.1,-1
4,38.50,-108.00,5928.0,-1
4,37.00,-101.75,5921.2,-1
4,37.00,-5.00,5951.4,-1
4,36.50,-105.50,5930.0,-1
4,35.75,-106.50,5930.7,-1
4,35.75,-105.75,5933.3,-1
4,35.50,-104.75,5932.2,-1
4,35.50,79.25,5846.9,-1
4,35.25,-107.25,5930.4,-1
4,35.00,-106.50,5931.0,-1
4,35.00,-105.50,5931.7,-1
4,35.00,81.25,5849.9,-1
4,34.75,78.75,5846.9,-1
4,34.75,159.75,5927.0,-1
4,34.50,-100.25,5927.2,-1
4,34.25,-99.50,5927.2,-1
4,34.00,-61.50,5954.5,-1
4,33.75,-7.00,5953.4,-1
4,33.50,-102.25,5933.1,-1
4,33.50,-5.25,5955.3,-1
4,33.50,-4.25,5955.2,-1
4,33.50,-3.50,5953.0,-1
4,33.25,134.25,5884.8,-1
4,32.75,-6.00,5955.3,-1
4,32.75,-3.75,5952.9,-1
4,32.50,-101.50,5932.5,-1
4,32.50,-5.00,5954.7,-1
4,32.25,55.75,5907.5,-1
4,32.25,111.75,5884.2,-1
4,32.25,131.50,5884.5,-1
4,32.00,-3.25,5954.1,-1
4,32.00,54.75,5908.6,-1
4,32.00,81.75,5849.0,-1
4,31.75,116.50,5895.2,-1
4,31.50,-6.00,5956.9,-1
4,31.50,53.50,5908.9,-1
4,31.50,118.25,5896.5,-1
4,31.25,56.75,5908.4,-1
4,31.00,-104.00,5925.2,-1
4,31.00,-7.75,5957.0,-1
4,31.00,109.25,5879.8,-1
4,30.75,-9.25,5954.3,-1
4,30.50,-7.00,5957.7,-1
4,30.50,54.75,5908.9,-1
4,30.25,-7.75,5958.3,-1
4,30.25,51.75,5910.4,-1
4,30.00,51.00,5910.1,-1
4,30.00,59.25,5907.5,-1
4,30.00,62.00,5899.9,-1
4,30.00,104.75,5868.8,-1
4,29.75,-8.75,5955.9,-1
4,29.75,167.75,5914.2,-1
4,29.50,49.50,5910.6,-1
4,28.75,93.75,5848.9,-1
4,28.25,102.50,5864.3,-1
4,28.00,85.50,5845.0,-1
4,28.00,89.50,5841.6,-1
4,27.75,-87.75,5906.0,-1
4,27.00,90.00,5844.7,-1
4,27.00,91.75,5847.8,-1
4,26.50,39.50,5904.0,-1
4,26.00,17.25,5880.7,-1
4,26.00,42.00,5907.5,-1
4,26.00,90.25,5844.8,-1
4,25.75,-173.00,5893.9,-1
4,25.50,-100.50,5908.0,-1
4,25.50,-33.50,5911.8,-1
5,70.50,-26.25,5543.8,-1
5,64.50,159.25,5805.2,-1
5,63.25,157.50,5807.7,-1
5,63.25,162.75,5809.0,-1
5,63.00,161.75,5809.0,-1
5,61.50,39.00,5890.3,-1
5,57.50,-98.75,5805.6,-1
5,55.00,108.75,5702.3,-1
5,42.75,-0.75,5907.6,-1
5,42.00,-112.50,5919.4,-1
5,42.00,-111.75,5921.2,-1
5,41.25,-159.75,5915.4,-1
5,41.00,-111.50,5920.9,-1
5,41.00,-110.25,5921.7,-1
5,40.25,-5.25,5920.6,-1
5,40.00,-111.25,5921.4,-1
5,40.00,-109.00,5921.4,-1
5,40.00,-107.25,5920.6,-1
5,39.00,-109.50,5924.8,-1
5,38.50,-110.25,5922.8,-1
5,38.50,-108.75,5925.4,-1
5,38.50,-108.00,5926.4,-1
5,38.25,-102.75,5916.9,-1
5,37.50,-106.00,5929.5,-1
5,37.50,-4.00,5929.9,-1
5,37.00,-104.50,5928.6,-1
5,37.00,149.50,5898.8,-1
5,36.75,-3.50,5932.4,-1
5,36.50,-108.00,5924.4,-1
5,36.25,-109.75,5921.3,-1
5,36.00,-105.75,5928.2,-1
5,35.25,-108.00,5924.4,-1
5,35.25,-104.25,5928.8,-1
5,35.25,156.00,5919.1,-1
5,34.75,-106.50,5924.9,-1
