time,latitude,longitude,z
0,26.50,269.75,5912.4
0,26.50,271.00,5912.3
0,26.50,279.00,5915.7
0,26.25,46.00,5943.0
0,26.25,46.75,5942.9
0,26.25,251.25,5896.3
0,26.25,251.75,5896.1
0,26.25,269.75,5912.4
0,26.25,271.75,5912.3
0,26.25,278.00,5915.9
0,26.00,37.75,5926.2
0,26.00,141.75,5922.7
0,26.00,142.00,5922.7
0,25.75,40.00,5932.3
0,25.75,74.00,5867.3
0,25.75,86.25,5866.0
0,25.75,98.00,5863.0
0,25.75,201.50,5811.4
0,25.75,254.50,5898.5
0,25.50,82.50,5868.4
0,25.50,110.75,5868.5
0,25.50,247.50,5899.4
0,25.25,83.25,5868.6
0,25.25,91.75,5867.2
0,25.25,105.00,5860.0
0,25.25,111.75,5869.0
0,25.25,255.00,5898.0
1,89.75,77.75,5580.4
1,89.75,78.75,5580.5
1,89.75,79.50,5580.6
1,89.75,246.75,5580.9
1,89.75,247.50,5580.9
1,89.75,248.00,5580.9
1,89.75,248.75,5580.8
1,89.75,249.50,5580.8
1,89.75,250.25,5580.7
1,89.75,251.00,5580.7
1,89.75,251.50,5580.6
1,89.75,252.25,5580.6
1,89.75,253.00,5580.5
1,89.75,253.75,5580.5
1,89.75,254.25,5580.4
1,80.50,315.00,5449.8
1,80.50,315.50,5449.8
1,79.00,146.75,5680.4
1,73.25,154.50,5723.7
1,70.50,113.00,5686.7
1,69.75,193.25,5671.5
1,69.75,193.50,5671.5
1,69.50,194.25,5671.4
1,69.50,194.50,5671.4
1,69.00,196.25,5671.1
1,67.25,305.25,5616.7
1,64.75,129.25,5649.4
1,64.50,128.00,5648.6
1,63.75,50.50,5574.9
1,63.75,128.25,5648.7
1,63.00,209.50,5699.1
1,62.50,280.25,5680.9
1,62.50,280.50,5680.9
1,61.25,98.50,5726.9
1,61.25,213.00,5709.6
1,60.25,95.00,5725.8
1,60.00,219.00,5717.3
1,58.75,223.50,5712.2
1,56.75,158.00,5509.4
1,56.00,159.00,5509.3
1,56.00,160.00,5510.7
1,55.50,160.25,5511.2
1,53.25,330.25,5930.9
1,53.00,330.00,5930.9
1,52.50,243.50,5646.7
1,50.25,244.25,5647.7
1,47.00,8.75,5967.3
1,47.00,9.75,5967.4
1,46.50,8.00,5970.8
1,46.50,9.50,5968.6
1,46.00,7.00,5971.0
1,46.00,7.75,5971.6
1,45.75,8.75,5969.8
1,45.25,6.50,5970.7
1,45.25,7.25,5972.7
1,45.25,8.00,5971.6
1,45.25,9.00,5968.5
1,45.25,81.25,5772.4
1,44.50,7.50,5972.6
1,44.50,79.75,5778.2
1,44.50,83.00,5770.9
1,44.25,6.50,5972.3
1,44.25,78.50,5780.0
1,44.25,82.00,5772.6
1,44.00,83.25,5772.3
1,44.00,83.75,5772.8
1,43.75,79.75,5777.1
1,43.75,80.50,5777.0
1,43.50,6.25,5972.6
1,43.50,81.25,5777.4
1,43.25,77.50,5786.3
1,43.25,83.50,5774.4
1,43.25,89.25,5748.5
1,43.00,71.00,5800.9
1,43.00,82.25,5773.9
1,42.75,70.00,5801.4
1,42.75,73.25,5799.8
1,42.75,74.25,5798.9
1,42.75,74.75,5799.2
1,42.75,76.75,5793.3
1,42.50,44.75,5866.9
1,42.50,70.75,5802.9
1,42.50,85.50,5768.6
1,42.25,72.50,5798.7
1,42.25,75.75,5792.1
1,42.25,76.25,5791.6
1,42.25,84.50,5768.2
1,42.00,74.25,5796.6
1,42.00,80.50,5774.5
1,42.00,83.50,5768.0
1,41.75,71.75,5800.6
1,41.75,72.00,5800.6
1,41.75,86.50,5762.8
1,41.50,72.75,5801.3
1,41.50,74.25,5795.5
1,41.50,75.25,5795.4
1,41.50,79.50,5775.8
1,41.50,84.25,5763.8
1,41.25,85.75,5764.8
1,41.00,71.25,5801.6
1,41.00,72.00,5800.5
1,40.75,72.75,5799.6
1,40.50,69.75,5804.5
1,40.50,71.25,5802.7
